:START_ID(Hut),:END_ID(Route),near_distance_m:float
3352385982,3916047,2.85
3352385982,6317685,2.85
3352385982,6317739,2.85
3352385982,6317740,2.85
3352385982,6318165,5.69
3390758693,3916047,345.68
3390758693,6317560,345.68
4093500789,6285617,19.27
4093500789,6289466,19.27
4093500789,6296800,24.90
4786913022,18864487,18.31
4786913022,18864488,10.38
4786913023,17080115,13.70
4786913023,17085864,13.70
5052100722,6353936,313.24
5052100722,6353937,5.72
5052100722,19229835,120.52
5981708157,4228445,3.62
5981708157,6289566,3.62
5981708157,6289568,4.24
5981708157,9520132,3.62
5981708157,9520133,4.24
6137075984,6306080,9.98
6137075984,6306081,9.89
6282702618,6265526,74.83
6282702618,6265527,74.83
6282702618,6265529,74.83
6282702618,6268134,74.83
6710835200,6264681,4.64
6710835200,6265463,4.64
6710835200,6265500,4.64
7091256838,3916047,311.75
7091256838,6318103,311.75
7091256838,6318104,24.53
7621468648,6306081,4.13
7621468648,6306082,6.61
7621468648,6306625,4.13
7621468648,6306626,4.13
9810716499,6301215,16.91
9810716499,6301217,5.29
9810716499,6301218,16.25
9810716499,6313276,5.29
9810716499,9518790,5.29
9810716499,9518800,16.25
9810716499,12885337,5.29
11051031618,4240894,7.77
11051031618,6261387,23.02
11051031618,6261388,7.77
11177648171,6323439,6.71
11177648171,6353880,7.06
11177648171,6353881,7.06
11177648171,6353882,7.01
11177648171,19230094,6.71
12798384665,6285645,10.57
12798384665,6286942,10.57
12798384665,6287083,10.57
12798384665,6287084,8.82
12798384665,6289203,10.57
12798384665,6289564,10.57
12798384665,12885351,10.57
12801124335,6283459,8.28
12801124335,6285615,8.28
12801124335,6285616,8.28
12801124335,6285643,6.84
12801124335,6285644,10.99
12801124335,6285681,13.15
12801124335,6288303,6.84
12801124335,6289199,10.99
12801124335,12885350,10.99
12801170418,6301015,45.34
12801170418,6301016,45.34
12801170418,6301103,43.57
12801170418,6301104,45.34
12801170418,9519176,43.57
12801170418,9519473,45.34
12801170418,12885337,43.57
12801170419,6300996,16.19
12801170419,6301016,7.26
12801170419,6301017,90.20
12801170419,6301018,16.19
12801170419,9519473,7.26
12801170419,9519548,16.19
12801170419,12885337,7.26
12801170420,6300996,22.67
12801170420,6300997,22.67
12801170420,6300998,22.64
12801170420,6300999,7.32
12801170420,9519548,22.67
12801170420,9519552,7.32
12801170420,12885337,7.32
12801187428,6287109,122.51
12801187428,6287245,9.56
12801187428,6287504,11.47
12801187428,6287505,9.56
12801187428,12885350,122.51
12801187428,19018687,122.51
12801189403,6300261,8.56
12801189403,6300262,8.56
12801189403,6300999,8.56
12801189403,9519552,8.56
12801189403,9519564,8.56
12801189403,12885337,8.56
12801189404,6289567,21.65
12801189404,6300262,14.70
12801189404,9519564,14.70
12801189404,9520134,21.65
12801189404,12885337,14.70
12801189405,6289567,8.19
12801189405,6289568,7.09
12801189405,6296678,8.19
12801189405,6296679,7.09
12801189405,6296680,7.09
12801189405,9520133,7.09
12801189405,9520134,8.19
12801189405,12885337,7.09
12801260925,4240894,5.72
12801260925,6261387,5.88
12801260925,6261388,5.72
12802270079,3916047,217.69
12802270079,6317685,246.65
12802270079,6317739,246.65
12802270079,6317740,217.69
12804564864,6362205,7.79
12804564864,6362400,7.79
12804564864,6362401,7.79
12804587321,6267947,6.71
12804604888,6265500,7.90
12804604888,6265501,82.73
12804604888,6265502,82.73
12905366256,6353936,124.62
12905366256,6353937,124.62
12905366256,19229835,6.90
